0,0.055555556,0,0.055555556,0.055555556,0.111111111,0.111111111,0.111111111,0.055555556,0.027777778,0,0.027777778,0.055555556,0,0.166666667,0.166666667,0
0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
0,0,0.333333333,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0
0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.071428571,0,0,0.357142857,0.214285714,0,0,0,0.142857143,0,0.142857143,0,0,0.071428571,0,0,0
0,0,0,0.153846154,0.230769231,0,0.076923077,0,0.230769231,0.076923077,0.153846154,0.076923077,0,0,0,0,0
0.555555556,0.111111111,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.222222222,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0.071428571,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
